Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8827,32,32,55.719,4.859,0.669,766,770,510,514,55,61,767.625,511.531,57.875
8828,284,284,356.195,14.798,0.202,1359,1383,503,514,57,61,1369.493,508.919,59.025
8829,160,160,195.283,9.978,0.389,171,184,505,515,56,61,176.719,509.631,58.781
8830,618,618,551.881,17.185,0.257,1368,1393,511,523,55,61,1380.756,515.846,58.775
8831,290,290,265.316,10.535,0.509,1621,1635,511,520,54,61,1626.707,514.462,58.238
8832,305,305,319.172,13.819,0.324,1877,1899,511,519,55,61,1886.226,513.764,58.603
8833,3558,3558,2338.609,35.228,0.112,1022,1065,510,550,53,61,1038.510,526.639,58.466
8834,14,14,31.752,3.460,0.692,1535,1536,519,524,57,61,1535.000,521.000,58.286
8835,1182,1182,802.232,21.548,0.306,1639,1671,508,531,56,61,1656.846,519.339,58.253
8836,1343,1343,784.545,18.369,0.422,1672,1691,515,537,52,61,1681.245,525.440,57.097
8837,680,680,513.489,15.006,0.386,1659,1678,522,538,55,61,1667.997,530.675,58.199
8838,2735,2735,1717.384,30.462,0.167,1627,1661,513,555,54,61,1642.928,530.156,58.298
8839,2218,2218,1880.827,30.248,0.084,214,254,515,547,57,61,238.621,531.411,59.143
8840,324,324,327.695,13.121,0.337,1603,1622,540,554,57,61,1612.994,546.133,58.975
8841,1047,1047,721.878,17.620,0.330,1163,1186,542,558,53,61,1175.335,549.975,57.919
8842,4924,4924,3920.259,49.221,0.046,632,677,533,601,54,61,648.634,565.230,58.771
8843,675,675,672.543,21.651,0.169,1534,1550,552,577,52,61,1540.936,567.467,58.265
8844,1962,1962,1219.334,26.434,0.240,1867,1892,568,597,53,61,1878.792,582.087,57.465
8845,167,167,196.753,10.102,0.414,1534,1544,574,585,56,61,1537.581,578.437,58.449
8846,1435,1435,986.970,22.597,0.242,1858,1878,560,589,52,61,1866.924,576.083,57.603
8847,304,304,281.009,12.357,0.471,1018,1030,579,594,54,61,1023.852,585.053,58.158
8848,3609,3609,2450.772,44.774,0.100,1515,1550,560,615,55,61,1527.388,589.121,58.454
